iter	Passed	Remaining
0	4	460
1	7	348
2	10	325
3	11	282
4	13	264
5	15	250
6	18	242
7	21	252
8	24	248
9	26	239
10	28	232
11	30	226
12	32	219
13	34	214
14	36	208
15	38	202
16	40	196
17	42	191
18	43	186
19	45	181
20	47	176
21	48	172
22	50	167
23	51	162
24	52	158
25	53	153
26	55	149
27	56	145
28	57	141
29	58	137
30	59	132
31	60	128
32	61	125
33	62	121
34	63	118
35	65	115
36	65	112
37	66	109
38	67	106
39	68	103
40	69	100
41	70	96
42	71	94
43	72	91
44	73	89
45	74	87
46	76	85
47	77	83
48	78	81
49	79	79
50	81	78
51	82	75
52	83	73
53	84	71
54	85	69
55	86	67
56	87	65
57	88	63
58	89	62
59	90	60
60	91	58
61	92	56
62	93	54
63	94	53
64	95	51
65	96	49
66	97	48
67	99	46
68	101	45
69	103	44
70	104	42
71	105	41
72	106	39
73	107	37
74	108	36
75	110	34
76	111	33
77	111	31
78	113	30
79	114	28
80	115	26
81	116	25
82	117	23
83	117	22
84	119	21
85	120	19
86	121	18
87	122	16
88	123	15
89	124	13
90	125	12
91	126	10
92	127	9
93	128	8
94	129	6
95	129	5
96	131	4
97	132	2
98	133	1
99	134	0
